LIMES;Enavi;UnitLIMES;UnitEnavi;ConvFactor
Net exports to SWE|Electricity;Net exports to SWE|Electricity;TWh/yr;TWh/yr;1
Net exports to EST|Electricity;Net exports to EST|Electricity;TWh/yr;TWh/yr;1
Net exports to LVA|Electricity;Net exports to LVA|Electricity;TWh/yr;TWh/yr;1
Net exports to LTU|Electricity;Net exports to LTU|Electricity;TWh/yr;TWh/yr;1
Net exports to DNK|Electricity;Net exports to DNK|Electricity;TWh/yr;TWh/yr;1
Net exports to GBR|Electricity;Net exports to GBR|Electricity;TWh/yr;TWh/yr;1
Net exports to IRL|Electricity;Net exports to IRL|Electricity;TWh/yr;TWh/yr;1
Net exports to NLD|Electricity;Net exports to NLD|Electricity;TWh/yr;TWh/yr;1
Net exports to POL|Electricity;Net exports to POL|Electricity;TWh/yr;TWh/yr;1
Net exports to DEU|Electricity;Net exports to DEU|Electricity;TWh/yr;TWh/yr;1
Net exports to BEL|Electricity;Net exports to BEL|Electricity;TWh/yr;TWh/yr;1
Net exports to LUX|Electricity;Net exports to LUX|Electricity;TWh/yr;TWh/yr;1
Net exports to CZE|Electricity;Net exports to CZE|Electricity;TWh/yr;TWh/yr;1
Net exports to SVK|Electricity;Net exports to SVK|Electricity;TWh/yr;TWh/yr;1
Net exports to AUT|Electricity;Net exports to AUT|Electricity;TWh/yr;TWh/yr;1
Net exports to CHE|Electricity;Net exports to CHE|Electricity;TWh/yr;TWh/yr;1
Net exports to HUN|Electricity;Net exports to HUN|Electricity;TWh/yr;TWh/yr;1
Net exports to ROM|Electricity;Net exports to ROM|Electricity;TWh/yr;TWh/yr;1
Net exports to SVN|Electricity;Net exports to SVN|Electricity;TWh/yr;TWh/yr;1
Net exports to FRA|Electricity;Net exports to FRA|Electricity;TWh/yr;TWh/yr;1
Net exports to HRV|Electricity;Net exports to HRV|Electricity;TWh/yr;TWh/yr;1
Net exports to BAL|Electricity;Net exports to BAL|Electricity;TWh/yr;TWh/yr;1
Net exports to BGR|Electricity;Net exports to BGR|Electricity;TWh/yr;TWh/yr;1
Net exports to ITA|Electricity;Net exports to ITA|Electricity;TWh/yr;TWh/yr;1
Net exports to ESP|Electricity;Net exports to ESP|Electricity;TWh/yr;TWh/yr;1
